gameDate,weekDay,homeTeam,homeTeamEdition,homeCombo,homeTeamBGColor,homeTeamColor,awayTeam,awayTeamEdition,awayCombo,awayTeamBGColor,awayTeamColor,courtMain,courtSecondary
11/22/2013,Friday ,Philadelphia 76ers,Home,Philadelphia 76ers Home,#ffffff,,Milwaukee Bucks,Away,Milwaukee Bucks Away,#2C5234,,,
11/22/2013,Friday ,Boston Celtics,Home,Boston Celtics Home,#ffffff,,Indiana Pacers,Away,Indiana Pacers Away,#051D42,,,
11/22/2013,Friday ,Los Angeles Lakers,Home,Los Angeles Lakers Home,#FFC72D,,Golden State Warriors,Away,Golden State Warriors Away,#023DA5,,,
11/22/2013,Friday ,Memphis Grizzlies,Home,Memphis Grizzlies Home,#ffffff,,San Antonio Spurs,Away,San Antonio Spurs Away,#000000,,,
11/22/2013,Friday ,Portland Trail Blazers,Home,Portland Trail Blazers Home,#ffffff,,Chicago Bulls,Alternate,Chicago Bulls Alternate,#000000,,,
11/22/2013,Friday ,New Orleans Pelicans,Home,New Orleans Pelicans Home,#ffffff,,Cleveland Cavaliers,Away,Cleveland Cavaliers Away,#70263D,,,
11/22/2013,Friday ,Detroit Pistons,Home,Detroit Pistons Home,#ffffff,,Atlanta Hawks,Away,Atlanta Hawks Away,#0C2340,,,
11/22/2013,Friday ,Minnesota Timberwolves,Home,Minnesota Timberwolves Home,#ffffff,,Brooklyn Nets,Away,Brooklyn Nets Away,#000000,,,
11/22/2013,Friday ,Charlotte Hornets,Home,Charlotte Hornets Home,#ffffff,,Phoenix Suns,Away,Phoenix Suns Away,#211647,,,
11/22/2013,Friday ,Dallas Mavericks,Home,Dallas Mavericks Home,#ffffff,,Utah Jazz,Away,Utah Jazz Away,#0B2F51,,,
11/22/2013,Saturday ,Toronto Raptors,Home,Toronto Raptors Home,#ffffff,,Washington Wizards,Away,Washington Wizards Away,#C8102E,,,
11/23/2013,Saturday ,Milwaukee Bucks,Home,Milwaukee Bucks Home,#ffffff,,Charlotte Hornets,Away,Charlotte Hornets Away,#0C2340,,,
11/23/2013,Saturday ,Atlanta Hawks,Home,Atlanta Hawks Home,#ffffff,,Boston Celtics,Away,Boston Celtics Away,#007A34,,,
11/23/2013,Saturday ,Denver Nuggets,Home,Denver Nuggets Home,#ffffff,,Dallas Mavericks,Alternate,Dallas Mavericks Alternate,#0C2340,,,
11/23/2013,Saturday ,Golden State Warriors,Alternate,Golden State Warriors Alternate,#ffffff,,Portland Trail Blazers,Away,Portland Trail Blazers Away,#000000,,,
11/23/2013,Saturday ,San Antonio Spurs,Alternate,San Antonio Spurs Alternate,#CDD6DC,,Cleveland Cavaliers,Away,Cleveland Cavaliers Away,#70263D,,,
11/23/2013,Saturday ,Miami Heat,Red Hot Alternate,Miami Heat Red Hot Alternate,#872733,,Orlando Magic,Away,Orlando Magic Away,#0257B7,,,
11/23/2013,Saturday ,Houston Rockets,Home,Houston Rockets Home,#ffffff,,Minnesota Timberwolves,Away,Minnesota Timberwolves Away,#25608F,,,
11/23/2013,Sunday ,Los Angeles Clippers,Home,Los Angeles Clippers Home,#ffffff,,Sacramento Kings,Away,Sacramento Kings Away,#763BBE,,,
11/23/2013,Sunday ,Indiana Pacers,Home,Indiana Pacers Home,#ffffff,,Philadelphia 76ers,Alternate,Philadelphia 76ers Alternate,#023DA5,,,
11/23/2013,Sunday ,Washington Wizards,Home,Washington Wizards Home,#ffffff,,New York Knicks,Away,New York Knicks Away,#023DA5,,,
11/24/2013,Sunday ,Los Angeles Lakers,Alternate,Los Angeles Lakers Alternate,#ffffff,,Sacramento Kings,Away,Sacramento Kings Away,#763BBE,,,
11/24/2013,Sunday ,Los Angeles Clippers,Back in Blue Pride,Los Angeles Clippers Back in Blue Pride,#438FDE,,Chicago Bulls,Alternate,Chicago Bulls Alternate,#000000,,,
11/24/2013,Sunday ,Brooklyn Nets,Home,Brooklyn Nets Home,#ffffff,,Detroit Pistons,Alternate,Detroit Pistons Alternate,#051D42,,,
11/24/2013,Monday ,Orlando Magic,Home,Orlando Magic Home,#ffffff,,Phoenix Suns,Away,Phoenix Suns Away,#211647,,,
11/24/2013,Monday ,Oklahoma City Thunder,Home,Oklahoma City Thunder Home,#ffffff,,Utah Jazz,Away,Utah Jazz Away,#0B2F51,,,
11/25/2013,Monday ,Charlotte Hornets,Home,Charlotte Hornets Home,#ffffff,,Boston Celtics,Away,Boston Celtics Away,#007A34,,,
11/25/2013,Monday ,San Antonio Spurs,Home,San Antonio Spurs Home,#ffffff,,New Orleans Pelicans,Away,New Orleans Pelicans Away,#0C2340,,,
11/25/2013,Monday ,Utah Jazz,Home,Utah Jazz Home,#ffffff,,Chicago Bulls,Away,Chicago Bulls Away,#BA0E2F,,,
11/25/2013,Monday ,Miami Heat,Red Hot Alternate,Miami Heat Red Hot Alternate,#872733,,Phoenix Suns,Home,Phoenix Suns Home,#ffffff,,,
11/25/2013,Monday ,Memphis Grizzlies,Home,Memphis Grizzlies Home,#ffffff,,Houston Rockets,Away,Houston Rockets Away,#BA0E2F,,,
11/25/2013,Monday ,Dallas Mavericks,Home,Dallas Mavericks Home,#ffffff,,Denver Nuggets,Away,Denver Nuggets Away,#438FDE,,,
11/25/2013,Monday ,Detroit Pistons,Home,Detroit Pistons Home,#ffffff,,Milwaukee Bucks,Away,Milwaukee Bucks Away,#2C5234,,,
11/25/2013,Tuesday ,Indiana Pacers,Home,Indiana Pacers Home,#ffffff,,Minnesota Timberwolves,Away,Minnesota Timberwolves Away,#25608F,,,
11/25/2013,Tuesday ,Portland Trail Blazers,Home,Portland Trail Blazers Home,#ffffff,,New York Knicks,Away,New York Knicks Away,#023DA5,,,
11/26/2013,Tuesday ,New Orleans Pelicans,Home,New Orleans Pelicans Home,#ffffff,,Golden State Warriors,Away,Golden State Warriors Away,#023DA5,,,
11/26/2013,Tuesday ,Washington Wizards,Home,Washington Wizards Home,#ffffff,,Los Angeles Lakers,Away,Los Angeles Lakers Away,#702F8B,,,
11/26/2013,Tuesday ,Atlanta Hawks,Home,Atlanta Hawks Home,#ffffff,,Orlando Magic,Away,Orlando Magic Away,#0257B7,,,
11/26/2013,Tuesday ,Toronto Raptors,Home,Toronto Raptors Home,#ffffff,,Brooklyn Nets,Away,Brooklyn Nets Away,#000000,,,
11/27/2013,Wednesday ,Milwaukee Bucks,Home,Milwaukee Bucks Home,#ffffff,,Washington Wizards,Away,Washington Wizards Away,#C8102E,,,
11/27/2013,Wednesday ,Boston Celtics,Home,Boston Celtics Home,#ffffff,,Memphis Grizzlies,Away,Memphis Grizzlies Away,#0C2340,,,
11/27/2013,Wednesday ,Minnesota Timberwolves,Alternate,Minnesota Timberwolves Alternate,#000000,,Denver Nuggets,Away,Denver Nuggets Away,#438FDE,,,
11/27/2013,Wednesday ,Brooklyn Nets,Home,Brooklyn Nets Home,#ffffff,,Los Angeles Lakers,Hollywood Nights,Los Angeles Lakers Hollywood Nights,#000000,,,
11/27/2013,Wednesday ,Oklahoma City Thunder,Home,Oklahoma City Thunder Home,#ffffff,,San Antonio Spurs,Away,San Antonio Spurs Away,#000000,,,
11/27/2013,Wednesday ,Cleveland Cavaliers,Alternate,Cleveland Cavaliers Alternate,#FFB81D,,Miami Heat,Away,Miami Heat Away,#000000,,,
11/27/2013,Wednesday ,Houston Rockets,Home,Houston Rockets Home,#ffffff,,Atlanta Hawks,Away,Atlanta Hawks Away,#0C2340,,,
11/27/2013,Wednesday ,Charlotte Hornets,Home,Charlotte Hornets Home,#ffffff,,Indiana Pacers,Away,Indiana Pacers Away,#051D42,,,
11/27/2013,Wednesday ,Dallas Mavericks,Home,Dallas Mavericks Home,#ffffff,,Golden State Warriors,Away,Golden State Warriors Away,#023DA5,,,
11/27/2013,Wednesday ,Detroit Pistons,Home,Detroit Pistons Home,#ffffff,,Chicago Bulls,Away,Chicago Bulls Away,#BA0E2F,,,
11/27/2013,Thursday ,Orlando Magic,Home,Orlando Magic Home,#ffffff,,Philadelphia 76ers,Alternate,Philadelphia 76ers Alternate,#023DA5,,,
11/27/2013,Thursday ,Phoenix Suns,Home,Phoenix Suns Home,#ffffff,,Portland Trail Blazers,Away,Portland Trail Blazers Away,#000000,,,
11/27/2013,Thursday ,Los Angeles Clippers,Home,Los Angeles Clippers Home,#ffffff,,New York Knicks,Away,New York Knicks Away,#023DA5,,,
11/29/2013,Friday ,Charlotte Hornets,Home,Charlotte Hornets Home,#ffffff,,Milwaukee Bucks,Away,Milwaukee Bucks Away,#2C5234,,,
11/29/2013,Friday ,Boston Celtics,Alternate,Boston Celtics Alternate,#007A34,,Cleveland Cavaliers,Home,Cleveland Cavaliers Home,#ffffff,,,
11/29/2013,Friday ,Denver Nuggets,Alternate,Denver Nuggets Alternate,#FFC72D,,New York Knicks,Away,New York Knicks Away,#023DA5,,,
11/29/2013,Friday ,Oklahoma City Thunder,Home,Oklahoma City Thunder Home,#ffffff,,Golden State Warriors,Away,Golden State Warriors Away,#023DA5,,,
11/29/2013,Friday ,Detroit Pistons,Alternate,Detroit Pistons Alternate,#051D42,,Los Angeles Lakers,Home,Los Angeles Lakers Home,#FFC72D,,,
11/29/2013,Friday ,Orlando Magic,Alternate,Orlando Magic Alternate,#000000,,San Antonio Spurs,Alternate,San Antonio Spurs Alternate,#CDD6DC,,,
11/29/2013,Friday ,Toronto Raptors,Home,Toronto Raptors Home,#ffffff,,Miami Heat,Away,Miami Heat Away,#000000,,,
11/29/2013,Friday ,Atlanta Hawks,Home,Atlanta Hawks Home,#ffffff,,Dallas Mavericks,Away,Dallas Mavericks Away,#0257B7,,,
11/29/2013,Friday ,Houston Rockets,Home,Houston Rockets Home,#ffffff,,Brooklyn Nets,Away,Brooklyn Nets Away,#000000,,,
11/29/2013,Saturday ,Indiana Pacers,Home,Indiana Pacers Home,#ffffff,,Washington Wizards,Away,Washington Wizards Away,#C8102E,,,
11/29/2013,Saturday ,Philadelphia 76ers,Home,Philadelphia 76ers Home,#ffffff,,New Orleans Pelicans,Away,New Orleans Pelicans Away,#0C2340,,,
11/29/2013,Saturday ,Utah Jazz,Alternate,Utah Jazz Alternate,#366445,,Phoenix Suns,Home,Phoenix Suns Home,#ffffff,,,
11/29/2013,Saturday ,Sacramento Kings,Alternate,Sacramento Kings Alternate,#000000,,Los Angeles Clippers,Away,Los Angeles Clippers Away,#D50132,,,
11/30/2013,Saturday ,Milwaukee Bucks,Home,Milwaukee Bucks Home,#ffffff,,Boston Celtics,Away,Boston Celtics Away,#007A34,,,
11/30/2013,Saturday ,San Antonio Spurs,Alternate,San Antonio Spurs Alternate,#CDD6DC,,Houston Rockets,Away,Houston Rockets Away,#BA0E2F,,,
11/30/2013,Saturday ,Cleveland Cavaliers,Alternate,Cleveland Cavaliers Alternate,#FFB81D,,Chicago Bulls,Away,Chicago Bulls Away,#BA0E2F,,,
11/30/2013,Saturday ,Memphis Grizzlies,Home,Memphis Grizzlies Home,#ffffff,,Brooklyn Nets,Away,Brooklyn Nets Away,#000000,,,
11/30/2013,Saturday ,Washington Wizards,Home,Washington Wizards Home,#ffffff,,Atlanta Hawks,Away,Atlanta Hawks Away,#0C2340,,,
11/30/2013,Saturday ,Dallas Mavericks,Home,Dallas Mavericks Home,#ffffff,,Minnesota Timberwolves,Away,Minnesota Timberwolves Away,#25608F,,,
11/30/2013,Sunday ,Phoenix Suns,Home,Phoenix Suns Home,#ffffff,,Utah Jazz,Away,Utah Jazz Away,#0B2F51,,,
12/1/2013,Sunday ,Toronto Raptors,Home,Toronto Raptors Home,#ffffff,,Denver Nuggets,Away,Denver Nuggets Away,#438FDE,,,
12/1/2013,Sunday ,Sacramento Kings,Home,Sacramento Kings Home,#ffffff,,Golden State Warriors,Away,Golden State Warriors Away,#023DA5,,,
12/1/2013,Sunday ,Los Angeles Lakers,Alternate,Los Angeles Lakers Alternate,#ffffff,,Portland Trail Blazers,Away,Portland Trail Blazers Away,#000000,,,
12/1/2013,Sunday ,Miami Heat,Red Hot Alternate,Miami Heat Red Hot Alternate,#872733,,Charlotte Hornets,Home,Charlotte Hornets Home,#ffffff,,,
12/1/2013,Sunday ,Detroit Pistons,Alternate,Detroit Pistons Alternate,#051D42,,Philadelphia 76ers,Home,Philadelphia 76ers Home,#ffffff,,,
12/1/2013,Monday ,Los Angeles Clippers,Back in Blue Pride,Los Angeles Clippers Back in Blue Pride,#438FDE,,Indiana Pacers,Alternate,Indiana Pacers Alternate,#FFC72D,,,
12/1/2013,Monday ,Oklahoma City Thunder,Home,Oklahoma City Thunder Home,#ffffff,,Minnesota Timberwolves,Away,Minnesota Timberwolves Away,#25608F,,,
12/1/2013,Monday ,New York Knicks,Alternate,New York Knicks Alternate,#FF6821,,New Orleans Pelicans,Home,New Orleans Pelicans Home,#ffffff,,,
12/2/2013,Monday ,San Antonio Spurs,Home,San Antonio Spurs Home,#ffffff,,Atlanta Hawks,Away,Atlanta Hawks Away,#0C2340,,,
12/2/2013,Monday ,Chicago Bulls,Home,Chicago Bulls Home,#ffffff,,New Orleans Pelicans,Away,New Orleans Pelicans Away,#0C2340,,,
12/2/2013,Monday ,Utah Jazz,Home,Utah Jazz Home,#ffffff,,Houston Rockets,Away,Houston Rockets Away,#BA0E2F,,,
12/2/2013,Tuesday ,Washington Wizards,Home,Washington Wizards Home,#ffffff,,Orlando Magic,Alternate,Orlando Magic Alternate,#000000,,,
12/2/2013,Tuesday ,Portland Trail Blazers,Home,Portland Trail Blazers Home,#ffffff,,Indiana Pacers,Away,Indiana Pacers Away,#051D42,,,
12/3/2013,Tuesday ,Boston Celtics,Home,Boston Celtics Home,#ffffff,,Milwaukee Bucks,Away,Milwaukee Bucks Away,#2C5234,,,
12/3/2013,Tuesday ,Brooklyn Nets,Home,Brooklyn Nets Home,#ffffff,,Denver Nuggets,Away,Denver Nuggets Away,#438FDE,,,
12/3/2013,Tuesday ,Golden State Warriors,Home,Golden State Warriors Home,#ffffff,,Toronto Raptors,Away,Toronto Raptors Away,#BA0E2F,,,
12/3/2013,Tuesday ,Miami Heat,Red Hot Alternate,Miami Heat Red Hot Alternate,#872733,,Detroit Pistons,Home,Detroit Pistons Home,#ffffff,,,
12/3/2013,Tuesday ,Memphis Grizzlies,Home,Memphis Grizzlies Home,#ffffff,,Phoenix Suns,Away,Phoenix Suns Away,#211647,,,
12/3/2013,Tuesday ,Dallas Mavericks,Home,Dallas Mavericks Home,#ffffff,,Charlotte Hornets,Away,Charlotte Hornets Away,#0C2340,,,
12/3/2013,Wednesday ,Philadelphia 76ers,Home,Philadelphia 76ers Home,#ffffff,,Orlando Magic,Alternate,Orlando Magic Alternate,#000000,,,
12/3/2013,Wednesday ,Sacramento Kings,Home,Sacramento Kings Home,#ffffff,,Oklahoma City Thunder,Alternate,Oklahoma City Thunder Alternate,#051D42,,,
12/4/2013,Wednesday ,Milwaukee Bucks,Home,Milwaukee Bucks Home,#ffffff,,Detroit Pistons,Away,Detroit Pistons Away,#023DA5,,,
12/4/2013,Wednesday ,Cleveland Cavaliers,Home,Cleveland Cavaliers Home,#ffffff,,Denver Nuggets,Away,Denver Nuggets Away,#438FDE,,,
12/4/2013,Wednesday ,Atlanta Hawks,Home,Atlanta Hawks Home,#ffffff,,Los Angeles Clippers,Away,Los Angeles Clippers Away,#D50132,,,
12/4/2013,Wednesday ,New Orleans Pelicans,Home,New Orleans Pelicans Home,#ffffff,,Dallas Mavericks,Away,Dallas Mavericks Away,#0257B7,,,
12/4/2013,Wednesday ,Houston Rockets,Home,Houston Rockets Home,#ffffff,,Phoenix Suns,Away,Phoenix Suns Away,#211647,,,
12/4/2013,Thursday ,Utah Jazz,Home,Utah Jazz Home,#ffffff,,Indiana Pacers,Away,Indiana Pacers Away,#051D42,,,
12/4/2013,Thursday ,Portland Trail Blazers,Home,Portland Trail Blazers Home,#ffffff,,Oklahoma City Thunder,Away,Oklahoma City Thunder Away,#0472CF,,,
12/5/2013,Thursday ,Chicago Bulls,Home,Chicago Bulls Home,#ffffff,,Miami Heat,Away,Miami Heat Away,#000000,,,
12/5/2013,Thursday ,Memphis Grizzlies,Home,Memphis Grizzlies Home,#ffffff,,Los Angeles Clippers,Away,Los Angeles Clippers Away,#D50132,,,
12/5/2013,Thursday ,Brooklyn Nets,Home,Brooklyn Nets Home,#ffffff,,New York Knicks,Away,New York Knicks Away,#023DA5,,,
12/6/2013,Friday ,Washington Wizards,Home,Washington Wizards Home,#ffffff,,Milwaukee Bucks,Away,Milwaukee Bucks Away,#2C5234,,,
12/6/2013,Friday ,Boston Celtics,Home,Boston Celtics Home,#ffffff,,Denver Nuggets,Away,Denver Nuggets Away,#438FDE,,,
12/6/2013,Friday ,Houston Rockets,Home,Houston Rockets Home,#ffffff,,Golden State Warriors,Away,Golden State Warriors Away,#023DA5,,,
12/6/2013,Friday ,Sacramento Kings,Home,Sacramento Kings Home,#ffffff,,Los Angeles Lakers,Away,Los Angeles Lakers Away,#702F8B,,,
12/6/2013,Friday ,Atlanta Hawks,Home,Atlanta Hawks Home,#ffffff,,Cleveland Cavaliers,Away,Cleveland Cavaliers Away,#70263D,,,
12/6/2013,Friday ,Charlotte Hornets,Home,Charlotte Hornets Home,#ffffff,,Philadelphia 76ers,Away,Philadelphia 76ers Away,#D50132,,,
12/6/2013,Saturday ,New York Knicks,Home,New York Knicks Home,#ffffff,,Orlando Magic,Alternate,Orlando Magic Alternate,#000000,,,
12/6/2013,Saturday ,New Orleans Pelicans,Home,New Orleans Pelicans Home,#ffffff,,Oklahoma City Thunder,Away,Oklahoma City Thunder Away,#0472CF,,,
12/6/2013,Saturday ,Phoenix Suns,Home,Phoenix Suns Home,#ffffff,,Toronto Raptors,Alternate,Toronto Raptors Alternate,#000000,,,
12/6/2013,Saturday ,Portland Trail Blazers,Home,Portland Trail Blazers Home,#ffffff,,Utah Jazz,Away,Utah Jazz Away,#0B2F51,,,
12/7/2013,Saturday ,Milwaukee Bucks,Home,Milwaukee Bucks Home,#ffffff,,Brooklyn Nets,Away,Brooklyn Nets Away,#000000,,,
12/7/2013,Saturday ,Philadelphia 76ers,Alternate,Philadelphia 76ers Alternate,#023DA5,,Denver Nuggets,Alternate,Denver Nuggets Alternate,#FFC72D,,,
12/7/2013,Saturday ,Memphis Grizzlies,Home,Memphis Grizzlies Home,#ffffff,,Golden State Warriors,Away,Golden State Warriors Away,#023DA5,,,
12/7/2013,Saturday ,San Antonio Spurs,Alternate,San Antonio Spurs Alternate,#CDD6DC,,Indiana Pacers,Away,Indiana Pacers Away,#051D42,,,
12/7/2013,Saturday ,Minnesota Timberwolves,Home,Minnesota Timberwolves Home,#ffffff,,Miami Heat,Away,Miami Heat Away,#000000,,,
12/7/2013,Saturday ,Cleveland Cavaliers,Home,Cleveland Cavaliers Home,#ffffff,,Los Angeles Clippers,Away,Los Angeles Clippers Away,#D50132,,,
12/7/2013,Saturday ,Portland Trail Blazers,Home,Portland Trail Blazers Home,#ffffff,,Dallas Mavericks,Away,Dallas Mavericks Away,#0257B7,,,
12/7/2013,Saturday ,Chicago Bulls,Home,Chicago Bulls Home,#ffffff,,Detroit Pistons,Away,Detroit Pistons Away,#023DA5,,,
12/7/2013,Sunday ,Utah Jazz,Home,Utah Jazz Home,#ffffff,,Sacramento Kings,Away,Sacramento Kings Away,#763BBE,,,
12/8/2013,Sunday ,New York Knicks,Alternate,New York Knicks Alternate,#FF6821,,Boston Celtics,Away,Boston Celtics Away,#007A34,,,
12/8/2013,Sunday ,Los Angeles Lakers,Alternate,Los Angeles Lakers Alternate,#ffffff,,Toronto Raptors,Alternate,Toronto Raptors Alternate,#000000,,,
12/8/2013,Sunday ,Detroit Pistons,Alternate,Detroit Pistons Alternate,#051D42,,Miami Heat,Home,Miami Heat Home,#ffffff,,,
12/8/2013,Sunday ,Houston Rockets,Home,Houston Rockets Home,#ffffff,,Orlando Magic,Alternate,Orlando Magic Alternate,#000000,,,
12/8/2013,Monday ,Oklahoma City Thunder,Home,Oklahoma City Thunder Home,#ffffff,,Indiana Pacers,Away,Indiana Pacers Away,#051D42,,,
12/9/2013,Monday ,Washington Wizards,Home,Washington Wizards Home,#ffffff,,Denver Nuggets,Away,Denver Nuggets Away,#438FDE,,,
12/9/2013,Monday ,Charlotte Hornets,Home,Charlotte Hornets Home,#ffffff,,Golden State Warriors,Away,Golden State Warriors Away,#023DA5,,,
12/9/2013,Monday ,Memphis Grizzlies,Home,Memphis Grizzlies Home,#ffffff,,Orlando Magic,Alternate,Orlando Magic Alternate,#000000,,,
12/9/2013,Monday ,Sacramento Kings,Home,Sacramento Kings Home,#ffffff,,Dallas Mavericks,Away,Dallas Mavericks Away,#0257B7,,,
12/9/2013,Tuesday ,Philadelphia 76ers,Home,Philadelphia 76ers Home,#ffffff,,Los Angeles Clippers,Alternate,Los Angeles Clippers Alternate,#023DA5,,,
12/9/2013,Tuesday ,Utah Jazz,Home,Utah Jazz Home,#ffffff,,Portland Trail Blazers,Away,Portland Trail Blazers Away,#000000,,,
12/10/2013,Tuesday ,Brooklyn Nets,Home,Brooklyn Nets Home,#ffffff,,Boston Celtics,Away,Boston Celtics Away,#007A34,,,
12/10/2013,Tuesday ,Los Angeles Lakers,Home,Los Angeles Lakers Home,#FFC72D,,Phoenix Suns,Away,Phoenix Suns Away,#211647,,,
12/10/2013,Tuesday ,Toronto Raptors,Home,Toronto Raptors Home,#ffffff,,San Antonio Spurs,Away,San Antonio Spurs Away,#000000,,,
12/10/2013,Tuesday ,Chicago Bulls,Home,Chicago Bulls Home,#ffffff,,Milwaukee Bucks,Away,Milwaukee Bucks Away,#2C5234,,,
12/10/2013,Tuesday ,Indiana Pacers,Alternate,Indiana Pacers Alternate,#FFC72D,,Miami Heat,Away,Miami Heat Away,#000000,,,
12/10/2013,Tuesday ,Cleveland Cavaliers,Home,Cleveland Cavaliers Home,#ffffff,,New York Knicks,Away,New York Knicks Away,#023DA5,,,
12/10/2013,Tuesday ,Atlanta Hawks,Home,Atlanta Hawks Home,#ffffff,,Oklahoma City Thunder,Away,Oklahoma City Thunder Away,#0472CF,,,
12/10/2013,Tuesday ,Detroit Pistons,Home,Detroit Pistons Home,#ffffff,,Minnesota Timberwolves,Away,Minnesota Timberwolves Away,#25608F,,,
12/11/2013,Wednesday ,Milwaukee Bucks,Home,Milwaukee Bucks Home,#ffffff,,San Antonio Spurs,Away,San Antonio Spurs Away,#000000,,,
12/11/2013,Wednesday ,Boston Celtics,Home,Boston Celtics Home,#ffffff,,Los Angeles Clippers,Alternate,Los Angeles Clippers Alternate,#023DA5,,,
12/11/2013,Wednesday ,Golden State Warriors,Home,Golden State Warriors Home,#ffffff,,Dallas Mavericks,Away,Dallas Mavericks Away,#0257B7,,,
12/11/2013,Wednesday ,New York Knicks,Home,New York Knicks Home,#ffffff,,Chicago Bulls,Away,Chicago Bulls Away,#BA0E2F,,,
12/11/2013,Wednesday ,Memphis Grizzlies,Home,Memphis Grizzlies Home,#ffffff,,Oklahoma City Thunder,Away,Oklahoma City Thunder Away,#0472CF,,,
12/11/2013,Wednesday ,Charlotte Hornets,Home,Charlotte Hornets Home,#ffffff,,Orlando Magic,Alternate,Orlando Magic Alternate,#000000,,,
12/11/2013,Wednesday ,New Orleans Pelicans,Home,New Orleans Pelicans Home,#ffffff,,Detroit Pistons,Away,Detroit Pistons Away,#023DA5,,,
12/11/2013,Thursday ,Minnesota Timberwolves,Home,Minnesota Timberwolves Home,#ffffff,,Philadelphia 76ers,Away,Philadelphia 76ers Away,#D50132,,,
12/11/2013,Thursday ,Sacramento Kings,Home,Sacramento Kings Home,#ffffff,,Utah Jazz,Away,Utah Jazz Away,#0B2F51,,,
12/12/2013,Thursday ,Brooklyn Nets,Home,Brooklyn Nets Home,#ffffff,,Los Angeles Clippers,Away,Los Angeles Clippers Away,#D50132,,,
12/12/2013,Thursday ,Portland Trail Blazers,Home,Portland Trail Blazers Home,#ffffff,,Houston Rockets,Alternate,Houston Rockets Alternate,#BA0E2F,,,
12/13/2013,Friday ,Milwaukee Bucks,Home,Milwaukee Bucks Home,#ffffff,,Chicago Bulls,Away,Chicago Bulls Away,#BA0E2F,,,
12/13/2013,Friday ,Boston Celtics,Home,Boston Celtics Home,#ffffff,,New York Knicks,Away,New York Knicks Away,#023DA5,,,
12/13/2013,Friday ,Denver Nuggets,Home,Denver Nuggets Home,#ffffff,,Utah Jazz,Away,Utah Jazz Away,#0B2F51,,,
12/13/2013,Friday ,Golden State Warriors,Home,Golden State Warriors Home,#ffffff,,Houston Rockets,Away,Houston Rockets Away,#BA0E2F,,,
12/13/2013,Friday ,Oklahoma City Thunder,Alternate,Oklahoma City Thunder Alternate,#051D42,,Los Angeles Lakers,Home,Los Angeles Lakers Home,#FFC72D,,,
12/13/2013,Friday ,San Antonio Spurs,Alternate,San Antonio Spurs Alternate,#CDD6DC,,Minnesota Timberwolves,Away,Minnesota Timberwolves Away,#25608F,,,
12/13/2013,Friday ,Orlando Magic,Home,Orlando Magic Home,#ffffff,,Cleveland Cavaliers,Away,Cleveland Cavaliers Away,#70263D,,,
12/13/2013,Friday ,New Orleans Pelicans,Home,New Orleans Pelicans Home,#ffffff,,Memphis Grizzlies,Away,Memphis Grizzlies Away,#0C2340,,,
12/13/2013,Friday ,Atlanta Hawks,Home,Atlanta Hawks Home,#ffffff,,Washington Wizards,Away,Washington Wizards Away,#C8102E,,,
12/13/2013,Friday ,Detroit Pistons,Home,Detroit Pistons Home,#ffffff,,Brooklyn Nets,Away,Brooklyn Nets Away,#000000,,,
12/13/2013,Friday ,Indiana Pacers,Home,Indiana Pacers Home,#ffffff,,Charlotte Hornets,Away,Charlotte Hornets Away,#0C2340,,,
12/13/2013,Friday ,Detroit Pistons,Home,Detroit Pistons Home,#ffffff,,Brooklyn Nets,Away,Brooklyn Nets Away,#000000,,,
12/13/2013,Saturday ,Toronto Raptors,Home,Toronto Raptors Home,#ffffff,,Philadelphia 76ers,Away,Philadelphia 76ers Away,#D50132,,,
12/13/2013,Saturday ,Phoenix Suns,Home,Phoenix Suns Home,#ffffff,,Sacramento Kings,Away,Sacramento Kings Away,#763BBE,,,
12/14/2013,Saturday ,Dallas Mavericks,Home,Dallas Mavericks Home,#ffffff,,Milwaukee Bucks,Alternate,Milwaukee Bucks Alternate,#A7192E,,,
12/14/2013,Saturday ,Charlotte Hornets,Home,Charlotte Hornets Home,#ffffff,,Los Angeles Lakers,Away,Los Angeles Lakers Away,#702F8B,,,
12/14/2013,Saturday ,Utah Jazz,Home,Utah Jazz Home,#ffffff,,San Antonio Spurs,Away,San Antonio Spurs Away,#000000,,,
12/14/2013,Saturday ,Chicago Bulls,Home,Chicago Bulls Home,#ffffff,,Toronto Raptors,Away,Toronto Raptors Away,#BA0E2F,,,
12/14/2013,Saturday ,Miami Heat,Red Hot Alternate,Miami Heat Red Hot Alternate,#872733,,Cleveland Cavaliers,Alternate,Cleveland Cavaliers Alternate,#FFB81D,,,
12/14/2013,Saturday ,New York Knicks,Home,New York Knicks Home,#ffffff,,Atlanta Hawks,Alternate,Atlanta Hawks Alternate,#C8102E,,,
12/14/2013,Sunday ,Washington Wizards,Home,Washington Wizards Home,#ffffff,,Los Angeles Clippers,Away,Los Angeles Clippers Away,#D50132,,,
12/14/2013,Sunday ,Philadelphia 76ers,Alternate,Philadelphia 76ers Alternate,#023DA5,,Portland Trail Blazers,Rip City,Portland Trail Blazers Rip City,#ffffff,,,
12/15/2013,Sunday ,Denver Nuggets,Home,Denver Nuggets Home,#ffffff,,New Orleans Pelicans,Away,New Orleans Pelicans Away,#0C2340,,,
12/15/2013,Sunday ,Phoenix Suns,Home,Phoenix Suns Home,#ffffff,,Golden State Warriors,Away,Golden State Warriors Away,#023DA5,,,
